Video Shots: 102

, frame_number: 23475 | start: 00:07:57 | end: 00:08:06 | type: medium | goal: False | goal_mouth: False | audio: True 
, frame_number: 23515 | start: 00:08:06 | end: 00:08:07 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 23695 | start: 00:08:07 | end: 00:08:10 | type: medium | goal: False | goal_mouth: False | audio: False 
, frame_number: 25545 | start: 00:08:22 | end: 00:08:47 | type: medium | goal: False | goal_mouth: False | audio: False 
, frame_number: 25585 | start: 00:08:47 | end: 00:08:48 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 26505 | start: 00:08:58 | end: 00:09:06 | type: wide | goal: False | goal_mouth: False | audio: False 
, frame_number: 26775 | start: 00:09:07 | end: 00:09:12 | type: close-out | goal: False | goal_mouth: False | audio: True 
, frame_number: 27140 | start: 00:09:12 | end: 00:09:19 | type: close-out | goal: False | goal_mouth: False | audio: False 
, frame_number: 27180 | start: 00:09:19 | end: 00:09:20 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 27315 | start: 00:09:20 | end: 00:09:23 | type: close | goal: False | goal_mouth: False | audio: False 
, frame_number: 27510 | start: 00:09:23 | end: 00:09:27 | type: medium | goal: False | goal_mouth: True | audio: False 
, frame_number: 29595 | start: 00:09:27 | end: 00:10:08 | type: close | goal: False | goal_mouth: False | audio: True 
, frame_number: 30115 | start: 00:10:08 | end: 00:10:19 | type: medium | goal: False | goal_mouth: False | audio: False 
, frame_number: 30955 | start: 00:10:19 | end: 00:10:35 | type: close-out | goal: False | goal_mouth: False | audio: False 
, frame_number: 31180 | start: 00:10:36 | end: 00:10:40 | type: close-out | goal: False | goal_mouth: False | audio: False 
, frame_number: 33115 | start: 00:10:40 | end: 00:11:19 | type: medium | goal: False | goal_mouth: False | audio: False 
, frame_number: 33730 | start: 00:11:19 | end: 00:11:31 | type: medium | goal: True | goal_mouth: False | audio: False 
, frame_number: 34030 | start: 00:11:31 | end: 00:11:37 | type: close | goal: True | goal_mouth: False | audio: True 
, frame_number: 34730 | start: 00:11:37 | end: 00:11:59 | type: wide | goal: False | goal_mouth: False | audio: False 
, frame_number: 34750 | start: 00:11:59 | end: 00:12:00 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 37095 | start: 00:12:44 | end: 00:12:47 | type: wide | goal: False | goal_mouth: True | audio: False 
, frame_number: 37120 | start: 00:12:47 | end: 00:12:48 | type: close | goal: False | goal_mouth: False | audio: False 
, frame_number: 37330 | start: 00:12:48 | end: 00:12:52 | type: close | goal: False | goal_mouth: False | audio: False 
, frame_number: 37370 | start: 00:12:52 | end: 00:12:53 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 37845 | start: 00:12:53 | end: 00:13:02 | type: wide | goal: False | goal_mouth: True | audio: True 
, frame_number: 37885 | start: 00:13:02 | end: 00:13:03 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 43015 | start: 00:07:47 | end: 00:07:57 | type: medium | goal: False | goal_mouth: False | audio: True 
, frame_number: 43040 | start: 00:07:57 | end: 00:07:57 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 44260 | start: 00:08:10 | end: 00:08:21 | type: close-out | goal: False | goal_mouth: False | audio: True 
, frame_number: 44285 | start: 00:08:21 | end: 00:08:22 | type: logo | goal: False | goal_mouth: False | audio: False 
]

GOALS: 2 | ATTACKS: 4 | OTHER: 3 

running time: 319.5450689792633
