Video Shots: 160

, frame_number: 44930 | start: 00:14:53 | end: 00:14:58 | type: medium | goal: False | goal_mouth: False | audio: False 
, frame_number: 46405 | start: 00:14:58 | end: 00:15:28 | type: wide | goal: False | goal_mouth: True | audio: False 
, frame_number: 46745 | start: 00:15:28 | end: 00:15:35 | type: close | goal: False | goal_mouth: False | audio: False 
, frame_number: 48875 | start: 00:15:35 | end: 00:16:17 | type: wide | goal: False | goal_mouth: True | audio: True 
, frame_number: 49200 | start: 00:16:17 | end: 00:16:24 | type: medium | goal: False | goal_mouth: False | audio: False 
, frame_number: 49235 | start: 00:16:24 | end: 00:16:24 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 49820 | start: 00:16:24 | end: 00:16:36 | type: wide | goal: False | goal_mouth: False | audio: True 
, frame_number: 50155 | start: 00:16:36 | end: 00:16:43 | type: medium | goal: False | goal_mouth: False | audio: False 
, frame_number: 50195 | start: 00:16:43 | end: 00:16:44 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 51200 | start: 00:16:44 | end: 00:17:04 | type: wide | goal: False | goal_mouth: False | audio: False 
, frame_number: 51455 | start: 00:17:04 | end: 00:17:09 | type: medium | goal: False | goal_mouth: False | audio: False 
, frame_number: 51790 | start: 00:17:09 | end: 00:17:15 | type: medium | goal: False | goal_mouth: False | audio: False 
, frame_number: 52695 | start: 00:17:16 | end: 00:17:34 | type: wide | goal: False | goal_mouth: False | audio: False 
, frame_number: 53045 | start: 00:17:34 | end: 00:17:41 | type: close-out | goal: False | goal_mouth: False | audio: False 
, frame_number: 54745 | start: 00:17:41 | end: 00:18:15 | type: wide | goal: False | goal_mouth: True | audio: False 
, frame_number: 55000 | start: 00:18:15 | end: 00:18:20 | type: close | goal: False | goal_mouth: False | audio: False 
